threshold,n_pred_pos,tp,fp,fn,precision,prec_iid_lo,prec_iid_hi,prec_blk_lo,prec_blk_hi,recall,rec_blk_lo,rec_blk_hi
0.3,1722,147,1575,9,0.08536585365853659,0.07291666666666667,0.09895933080436062,0.05316906222611744,0.11924017089600329,0.9423076923076923,0.8931297709923665,0.9751552795031055
0.35,1489,142,1347,14,0.09536601746138348,0.08100920340982438,0.11042585243974132,0.059186189889025895,0.13342777710825846,0.9102564102564102,0.8571428571428571,0.9533372093023256
0.4,1246,135,1111,21,0.10834670947030497,0.09151400592307682,0.12531115729647405,0.06588989610568323,0.15246665009556598,0.8653846153846154,0.7808174988952717,0.927536231884058
0.45,1007,119,888,37,0.11817279046673287,0.09857743702188748,0.13824419778002017,0.06886724090784796,0.16724623279192258,0.7628205128205128,0.6068279569892473,0.8653867713004484
0.5,794,101,693,55,0.12720403022670027,0.10449731431657312,0.15106336245352317,0.07068303717015563,0.18581213739917926,0.6474358974358975,0.4482758620689655,0.782608695652174
0.55,583,86,497,70,0.14751286449399656,0.11908548900800124,0.17656765676567657,0.07572608183633521,0.22300983649702272,0.5512820512820513,0.35592278719397363,0.679351309921962
0.6,416,73,343,83,0.17548076923076922,0.13964944871324225,0.21212121212121213,0.08942114934847979,0.2604796709102803,0.46794871794871795,0.2857142857142857,0.5916709183673469
0.65,301,58,243,98,0.19269102990033224,0.1485056839017235,0.2366687279151943,0.09561679751581907,0.2777777777777778,0.3717948717948718,0.21648787963220953,0.47826607031412516
0.7,176,42,134,114,0.23863636363636365,0.17751479289940827,0.30159199774584383,0.11288813179230636,0.3383103422282527,0.2692307692307692,0.12949175142644506,0.375
0.75,94,25,69,131,0.26595744680851063,0.18,0.3548387096774194,0.11475409836065574,0.35537649219467393,0.16025641025641027,0.05714285714285714,0.23913376900506797
0.8,42,17,25,139,0.40476190476190477,0.2558139534883721,0.5526315789473685,0.21736192714453584,0.5357360627177697,0.10897435897435898,0.04672897196261682,0.15
0.85,19,11,8,145,0.5789473684210527,0.3333333333333333,0.8095238095238095,0.4375,0.7142857142857143,0.07051282051282051,0.02796717171717172,0.10126582278481013
0.9,9,7,2,149,0.7777777777777778,0.4444444444444444,1.0,0.6666666666666666,1.0,0.04487179487179487,0.014598540145985401,0.07428571428571429
